rating,text,type,probs,preds
2,dirty hard to find things,Restaurant,"[0.006879531312733889, 0.993120551109314]",positive
3,some entres were good  for 2 people  we ordered 3 tapas 2 appetizers and 2 nonalcoholic drinks our bill was 70,Nuevo Latino restaurant,"[0.6413741111755371, 0.3586258888244629]",mixed
4,it was very special,Restaurant,"[0.08359267562627792, 0.9164073467254639]",positive
2,the staff was great and the cornbread was good everything else was basically rerereheated from the freezer isle of the grocery store i had chicken tenders and my wife had a french dip and mac n cheese mcdonalds has fresher chicken nuggets no kidding the chicken was awful tough processed meat and the bread was just a pouch of overdone similarly tough breading that wasnt actually attached to the chicken at any place my wifes food was as bland as anything weve ever tasted i would say that i hope we just caught them on a bad day but with all of the hot food so categorically bad i fear that isnt the case we might try again in 50 years when we are approaching the average age of the other customers,Restaurant,"[0.9980207681655884, 0.001979286316782236]",negative
4,great burger,Restaurant,"[0.00654048565775156, 0.9934594631195068]",positive
2,good food however the last couple times the service has been extremely slow we did not receive until 30 minutes aft r ordering it,Traditional American restaurant,"[0.5237333178520203, 0.4762667119503021]",mixed
2,good food but cash only,Restaurant,"[0.4114445745944977, 0.5885553956031799]",mixed
2,not so good,Fast food restaurant,"[0.9995446801185608, 0.0004552644968498498]",negative
4,the attendant in the drive through was nice and polite even when i went close to closing time food was prepared quickly and was decently fresh,Pizza restaurant,"[0.04998929053544998, 0.9500107169151306]",positive
3,doesnt compare to ginos east or giordanos,Restaurant,"[0.9899249076843262, 0.010075084865093231]",negative
3,always a good choice,Restaurant,"[0.002988296328112483, 0.997011661529541]",positive
4,friendly drive through,Restaurant,"[0.36384016275405884, 0.6361597776412964]",mixed
4,good selection of beer good bar fair can always get a seat at the bar or a table weird amount of pilsner bud and sam adams on tap for a place that touts itself as a world of beer,Restaurant,"[0.07003534585237503, 0.9299647212028503]",positive
2,expensive and overrated,Restaurant,"[0.9994539618492126, 0.000546036462765187]",negative
2,the cashier guy at the window was extremely rude my sandwich bun was smashed and looked like someone ripped it in half the fries were cold and tasted like they have been sitting for hours and the same with the nuggets not a good experience there at all,Fast food restaurant,"[0.9993859529495239, 0.0006140082841739058]",negative
3,love there pizza,Fast food restaurant,"[0.0398915596306324, 0.9601084589958191]",positive
2,not impressed subway is better the bread crust was so hard i couldnt chew it,Takeout Restaurant,"[0.9996623992919922, 0.00033764290856197476]",negative
3,good for a lc,Fast food restaurant,"[0.3925991356372833, 0.6074008345603943]",mixed
3,i feel like this place over charged for one slice of pizza  but the ones ive tried was ok but not the best clean place and grate customer service the only reason why they have a 3  is for the way they treat there customer grate job guys,Pizza restaurant,"[0.25706058740615845, 0.7429394721984863]",mixed
2,the service has been on a decline the last few months the time my wife and i were there our meals were made in 30 seconds or less and were thrown into the bowls it wasnt busy but the hs kids working must have felt that customers were a bother,Fast food restaurant,"[0.9988200068473816, 0.0011799701023846865]",negative
2,the grease on the chicken leaves a bad after taste and trying to get someone to wait on you at the counter is nearly impossible and dirty as well but in its defense all fast are sadly like this now a days,Fast food restaurant,"[0.9978261590003967, 0.002173869637772441]",negative
4,fresh fast service,Vegetarian restaurant,"[0.014916673302650452, 0.9850833415985107]",positive
4,very good,Brunch restaurant,"[0.007941283285617828, 0.9920586943626404]",positive
4,great place,Restaurant,"[0.05785524845123291, 0.9421447515487671]",positive
2,waited for a hour fries was dry no salt or ketchup no napkins,Restaurant,"[0.9994189739227295, 0.0005810454022139311]",negative
3,of course we all know their shake machine was down,Restaurant,"[0.9843885898590088, 0.015611380338668823]",negative
4,good food decent service,Restaurant,"[0.048868462443351746, 0.9511315226554871]",positive
3,slow,Takeout Restaurant,"[0.9945987462997437, 0.005401212722063065]",negative
4,good food and fast service,Family restaurant,"[0.046353213489055634, 0.9536467790603638]",positive
4,i really like totos uncle cafe well actually i just love their waffles ive tried several of their food options and they were alright the kimbap was average to me to be fair its really hard to find the same quality of korean food i am used to having in seoul all of their ramens ive seen being microwaved so i dont know how fresh or homemade it is so im not super enthusiastic about the food overall average  the waffles however are so good i see them making them fresh they use real maple syrup they are huge definitely a 23 person waffle they are soft and slightly cinnamony and their fruit and ice cream offerings go well i thought it was a pretty solid waffle and i usually get it when i stop in  its a small place very affordable and staff are friendly there are unlimited side dishes that are self serve but it needs to be advertised more if you were a korean food newbie you wouldnt know,Restaurant,"[0.012655186466872692, 0.9873448014259338]",positive
2,they tries hard but it was a bust  servers first night and the manager was a dingy  a person in our party had an egg allergy and the manager was not helpful at all and was not a very good person to interact with customers  very unimpressive,Takeout Restaurant,"[0.999607264995575, 0.00039276937604881823]",negative
3,too much batter on the fish,Cajun restaurant,"[0.9801357984542847, 0.019864166155457497]",negative
2,the boss kevin was extremely  rude when i simply said my order was incorrect,Fast food restaurant,"[0.9642496109008789, 0.035750407725572586]",negative
3,quick breakfast of biscuit and gravy with potatoes bacon and egg all for 423 not to bad on the price as you can see the egg was only 1 very small at that but i was able to purchase 2 extra ones for 105 to make the breakfast little more protein the bacon was really over cooked and dry but for the total of 528 what can you expect guess you have to be your own judge about how hungry and satisfying it is,Hamburger restaurant,"[0.27271774411201477, 0.7272822260856628]",mixed
3,very underwhelming  after being hyped up by everyone i finally went burger tasted fresh and not processed garbage like you would find at other fast food restaurants but it didnt have much flavor the jalapenos didnt have any heat to them the grilled onions tasted nasty  everyone went on about the portion of the fries you get but for the price you could go to mcdonalds and get two large fries  1 for the cocacola freestyle machine,Restaurant,"[0.9996535778045654, 0.0003464768233243376]",negative
3,good,Fast food restaurant,"[0.03578126057982445, 0.96421879529953]",positive
3,average food,Seafood restaurant,"[0.9764267206192017, 0.02357328124344349]",negative
2,dishes a little dirty had to make them clean,Teppanyaki restaurant,"[0.6024603843688965, 0.39753958582878113]",mixed
3,quick professional nice environment,Restaurant,"[0.004864111077040434, 0.9951358437538147]",positive
3,i have had many steaks from outback steakhouse and all have been wonderful was really looking forward to having one today 12312020 it was the worst steak ever just another wonderful day in 2020,Restaurant,"[0.9971906542778015, 0.002809359459206462]",negative
4,good selection of food good value and great service,Pizza restaurant,"[0.004277168307453394, 0.995722770690918]",positive
4,super fast and quaint coffeehouse in downtown naperville awesome customer service,Lunch restaurant,"[0.00428585521876812, 0.9957141280174255]",positive
3,the breadsticks used to be a staple here but since they moved they have cheeped out on how they make them and serve them load them up with the butter and garlic like you used to at the old location,Takeout Restaurant,"[0.9569873213768005, 0.043012652546167374]",negative
2,the service was ridiculously slow took nearly an hour to get our food once the food made it to the table it was good but not great,Southern restaurant (US),"[0.914271354675293, 0.08572868257761002]",negative
2,expect to check your order nice enough people but seems quite a lot of turn over in staff,Restaurant,"[0.6625927090644836, 0.3374072313308716]",mixed
4,good inexpensive and gast food,Vegetarian restaurant,"[0.0060008191503584385, 0.9939992427825928]",positive
3,wait time was to long fries were meh,Restaurant,"[0.994401752948761, 0.0055982377380132675]",negative
4,like walking into the goodfellas movie think 1960s mafia the steaks are some of the best in the city but the sides and specials are old school and limited we particularly love the escargot,Restaurant,"[0.012641622684895992, 0.9873583912849426]",positive
2,slow service,Restaurant,"[0.9834294319152832, 0.01657058112323284]",negative
2,not the best place heavy with grease and terrible service not to mention the dirty scenery,American restaurant,"[0.9990885257720947, 0.0009114883723668754]",negative
2,service and food sucked when asked to see a manager the manager wouldnt even come to table or to register when we paid and left cashier said he would take the price of the chicken sandwich off but was all he could do,Restaurant,"[0.9991042017936707, 0.0008957671234384179]",negative
4,good japanese lunch not cheap,Japanese restaurant,"[0.11909448355436325, 0.8809055685997009]",positive
4,first time visitthe food was good and the server was nice and attentive well be going back,Restaurant,"[0.0299201812595129, 0.9700798392295837]",positive
4,good product,Fast food restaurant,"[0.01748793013393879, 0.9825119972229004]",positive
4,very fast service,Vegetarian restaurant,"[0.013866889290511608, 0.9861330389976501]",positive
3,service was slow and the pancakes were dry nothing special unfortunately,Restaurant,"[0.9966320395469666, 0.0033679776825010777]",negative
4,great service,Soup restaurant,"[0.0357704721391201, 0.9642295241355896]",positive
3,steak had no flavor disappointing,Restaurant,"[0.9996009469032288, 0.00039911989006213844]",negative
3,for the most part i never have issues here at steak and shake everyone was nice they were a little short handed this means everyone has to help out in the team  tiffany m was our server we came for happy hour shakes  tiffany thought our shakes had been made and when the two people that came in after us had gotten there stuff and left and we were still waiting she and the guy on the line stopped and made our shakes for us so we could leave thank you to the staff that noticed we were still there and were able to help move things along,Fast food restaurant,"[0.025651417672634125, 0.9743485450744629]",positive
4,staff very friendly prompt service but could have been cleaner floors sticky and restroom not clean food was tasty and hot,Restaurant,"[0.19786866009235382, 0.8021313548088074]",positive
4,for a chain type restaurant they have surprising good asian food the stirfry bar is a bit on the pricey side but is excellent and is worth trying,Thai restaurant,"[0.002745190169662237, 0.9972547888755798]",positive
3,burgers great fries at allen park mi  were greasy  taste like cooked in old oil,Restaurant,"[0.932818591594696, 0.06718145310878754]",negative
2,just arrived here ordered fish n chips  halfway through my meal found the longest hair in my tartar sauce told our waitress  all she did was recommended a replacement of tartar sauce  no manager  no nothing  horrible way to resolve,Takeout Restaurant,"[0.980962336063385, 0.0190376415848732]",negative
3,underwhelming,American restaurant,"[0.9937487840652466, 0.006251224782317877]",negative
3,pretty small place waiter sat us down by a big exit door and declined to move us food was average probably wouldnt come back,Restaurant,"[0.9866201877593994, 0.013379781506955624]",negative
4,great breakfast place location is fun,Greek restaurant,"[0.026575401425361633, 0.9734245538711548]",positive
2,slowest drive through ever every time expect it to take at least 10 minutes even if its not busy,Restaurant,"[0.9925406575202942, 0.0074594151228666306]",negative
2,we were able to make a reservation for 2 but upon arriving they told us that our table was given away for some reason even though we were only 1 minute late we were seated indoors by ourselves everyone else was seated in the tent outside and no one came by to take our drink order for 15 minutes when the server finally came there was no introduction to the restaurant or the menu which i think should be expected for the price we paid  now for the food and drink the lychee cocktail we ordered was very disappointing it was 11 and served in a tiny disposable cup and tasted like lemon juice the lychee in the cocktail didnt add much except for bleached pulp and looked pretty disgusting my drunken noodles were pretty good but i couldnt eat all of it im sensitive to spicy foods and the menu does not list the drunken noodles as spicy though other items have spice warnings which implies the drunken noodles should not be very spicy no warning from the server either  im giving 2 stars because i really liked georginas this was my first time at little gs and i was very disappointed im not sure ill be back given how much money i spent and how disappointing the service was,Asian fusion restaurant,"[0.9784464836120605, 0.021553538739681244]",negative
4,very clean,Restaurant,"[0.004992715083062649, 0.9950072765350342]",positive
3,nice if there are more natural fruit flavours,Dessert restaurant,"[0.6536300182342529, 0.34636998176574707]",mixed
2,i like there wings,Hamburger restaurant,"[0.40307456254959106, 0.5969253778457642]",mixed
2,very slow and unfriendly,Restaurant,"[0.9996652603149414, 0.00033469469053670764]",negative
4,i love this bar,Restaurant,"[0.02294054627418518, 0.9770594239234924]",positive
3,owner needs to chill out service is great,Restaurant,"[0.5966054797172546, 0.40339455008506775]",mixed
4,went to the golden aquarium thats in the area great fish store,Restaurant,"[0.9261605143547058, 0.07383949309587479]",negative
4,loved the space and decor the staff was only slightly rude missed the sign that hours had changed and they closed an hour earlier they ended up locking us inside  assuming of course to keep others out  and failed to help us figure out how to unlock door to leave a simple we are closing now would have been good enough,Organic restaurant,"[0.1814669519662857, 0.8185330033302307]",positive
4,the portion size is huge definitely a good place to snag food,Restaurant,"[0.0032798622269183397, 0.9967201352119446]",positive
3,friendly staff,Thai restaurant,"[0.2970760762691498, 0.7029239535331726]",mixed
4,small and friendly with good food,Mediterranean restaurant,"[0.007200223859399557, 0.9927997589111328]",positive
2,not my favorite restaurant for food bit if you need it fast they can get you food,Restaurant,"[0.9603381156921387, 0.03966190665960312]",negative
3,food was solid,Chinese restaurant,"[0.08542076498270035, 0.9145792722702026]",positive
4,very good food overall but the ribs i got were a little too greasy other than that the prices were low and the food was really good especially the sweet potato fries and the bread,Restaurant,"[0.0038858551997691393, 0.9961141347885132]",positive
4,great nachos,Restaurant,"[0.04536907374858856, 0.9546309113502502]",positive
3,i came here to pick up a friend the bar was great and seemed to attract a trendy crowd they have volleyball courts and other bar games didnt get a chance to eat otherwise i would give a more thorough seemed fun,Chicken wings restaurant,"[0.2227741926908493, 0.7772257924079895]",mixed
3,standard strip mall,Restaurant,"[0.9558641910552979, 0.04413580149412155]",negative
2,honestly overrated,Takeout Restaurant,"[0.9995096921920776, 0.0004902625805698335]",negative
2,keep getting my order wrong isnt the first time,Vegetarian restaurant,"[0.9854097366333008, 0.01459023542702198]",negative
3,good food,Restaurant,"[0.030685730278491974, 0.9693143367767334]",positive
3,food was ok better in chicago,Hot dog restaurant,"[0.9050120115280151, 0.09498798102140427]",negative
4,this mc donalds gives very good service,Restaurant,"[0.045336849987506866, 0.9546631574630737]",positive
3,stopped in for a quick bite with relatives that live right near there we had a big table  service was great food was very good and we had a great time no one rushed us since we were all glad to be together and have a meal after not seeing our relatives for awhile great select of beer,Restaurant,"[0.004944829270243645, 0.9950551986694336]",positive
2,sorry but an entry level job shouldnt pay more than skilled labor jobs anyone can work here its fail proof and requires zero skills,Restaurant,"[0.9993116855621338, 0.0006882577436044812]",negative
2,food is okay prices are terrible,Soup restaurant,"[0.819767415523529, 0.18023259937763214]",negative
2,my chicken was wet and not crispy after a 15min wait my sides and biscuits were fres6,Seafood restaurant,"[0.9973015189170837, 0.002698507159948349]",negative
4,i love their fries,Restaurant,"[0.06739263236522675, 0.9326073527336121]",positive
2,bad service   ok food   wont go back,American restaurant,"[0.9973812699317932, 0.0026187070179730654]",negative
4,good selection of food in service was okay,Restaurant,"[0.11147879809141159, 0.8885212540626526]",positive
4,food was okay not the best but not the worst service was good,American restaurant,"[0.6433349847793579, 0.3566649854183197]",mixed
3,ok,Seafood restaurant,"[0.6049923300743103, 0.3950076401233673]",mixed
4,you can always go there alone and someone you knows will usually come in  great crowd good energy good food,Restaurant,"[0.0058570001274347305, 0.9941429495811462]",positive
3,i like fridays and visit them frequently unfortunately last night i had a bad time at the restaurant the food was extremely late and cold the drinks also came very late and our waitress looked very unfriendly i will always visit fridays but i had to express my feelings,Takeout Restaurant,"[0.8590186238288879, 0.14098137617111206]",negative
3,great waitresses and i hat fried chicken is fried to perfection not over cooked ,Family restaurant,"[0.010169426910579205, 0.9898305535316467]",positive
4,food was good staff was friendly would go back again,Fast food restaurant,"[0.01018461026251316, 0.989815354347229]",positive
4,ive only been here once but my experience was wonderful i love the decor and layout yummy soup and wonderful customer service,American restaurant,"[0.002735583344474435, 0.9972643852233887]",positive
4,pizza is great but get carryout or deliveryif they offer,Pizza restaurant,"[0.12622180581092834, 0.873778223991394]",positive
2,did not listen to the order right,Restaurant,"[0.9978546500205994, 0.002145355334505439]",negative
3,its not great and its not badly either its about average is going the better ones around,Breakfast restaurant,"[0.771776020526886, 0.22822394967079163]",mixed
3,food here is great but service could be improved it seems like certain wait staff are more interested in fraternizing with other staff than paying attention to the empty glasses on their customer tables the awesome selfservice salsa bar also gets neglected which is frustrating when you are craving that fresh oniontomatocilantro blend to dip your chip before a meal arrives ugh,Takeout Restaurant,"[0.023792404681444168, 0.9762076735496521]",positive
4,service was excellent roast chicken was terrific rainbow trout was just ok hubbys smoked ribs were somewhat dry side dishes were good,Restaurant,"[0.106572724878788, 0.893427312374115]",positive
2,nasty perch not fully cooked chicken is all skin no meat fries horrific,Restaurant,"[0.9996703863143921, 0.0003296589420642704]",negative
2,was not that happy with the food cold and wait was long,Breakfast restaurant,"[0.9987198114395142, 0.001280170981772244]",negative
3,food is very spicy,Restaurant,"[0.5029438138008118, 0.49705618619918823]",mixed
3,the food was fresh to go  however the dining area was dirty and no one was available to clean it,Vegetarian restaurant,"[0.5648220181465149, 0.4351780116558075]",mixed
4,first time visiting was really good just be clear on how you want to order your dogs,Restaurant,"[0.006673136726021767, 0.9933269023895264]",positive
4,way too busy,Family restaurant,"[0.9850542545318604, 0.014945680275559425]",negative
2,cafe borgia atmosphere great food very bland no flavor even the salad had no flavor priceywill not be going back can do better for for the price,Italian restaurant,"[0.9996073842048645, 0.0003926750214304775]",negative
3,it seems like the quality of the service that you have they want you to pay tip at checkout maybe the person did or did not deserve a tip really people,Family restaurant,"[0.964415967464447, 0.0355839803814888]",negative
4,good coffee and breakfast,Restaurant,"[0.023546315729618073, 0.9764536619186401]",positive
2,i did not get what i want ordered,Restaurant,"[0.9950392842292786, 0.004960738588124514]",negative
3,service was prompt unfortunately the food tho nicely presented was very bland unexpected for a restaurant specializing in south of the border specialties probably wont go back i was disappointed as i  my family had gone there for a birthday dinner ,Restaurant,"[0.996834933757782, 0.0031651139724999666]",negative
4,delicious gimlets in addition to great burgers,Hamburger restaurant,"[0.0011630328372120857, 0.9988369345664978]",positive
3,hmm well the line for the drive thru was insanity  honestly like a dozen cars ahead of me  that said because i couldnt believe how busy they were so i am cutting them some slack we got our food and pulled out  the employees were obviously not enjoying their job food was thrown together even by taco bell standards  it was also not very good  the lettuce was brown and slippery tomatoes mushy cheese was burnt must have been left in the microwave tooo long no napkins no hot sauce  three stars is being generous,Vegetarian restaurant,"[0.9970704317092896, 0.0029295790009200573]",negative
4,hot and fresh,Fast food restaurant,"[0.002401184756308794, 0.9975988268852234]",positive
3,we stopped out at zin for dinner with the family and we were seated right away but we did have reservations we went on a monday night steak night so there is a deal for filets we said yes please to the steak you do get bread and oil while you wait on your order shayla and myself ordered our steaks medium rare the atmosphere and decorations of the restaurant are a little on the older side but still ok there is an area where you can see into the kitchen but you would need to walk up to that area to see them prepping the food i am always a fan of seeing the kitchen and hustle and bustle of the chefs we had placed an order for an appetizer and unfortunately our main dish came out before the appetizer did we were told that the kitchen missed it and they would put a rush on it shaylas steak came out just right medium rare and mine came out more medium well and i was a little disappointed by that i had ordered shrimp as an add on to my plate and they were delicious probably the highlight of my meal when the appetizer came out hot and ready it had good taste and good flavor calamari i would recommend them our waiter for the evening could use a little improvement and check on the tables a little more and be a little more curtious overall it was a fun night with the family but we will keep looking for new places to try outside seating available parking is on the street,Italian restaurant,"[0.012620991095900536, 0.9873790144920349]",positive
4,love the gal who works in the drive thru during lunch taking money she is awesome and the reason i come back to this location,Fast food restaurant,"[0.11901107430458069, 0.8809888958930969]",positive
2,order wrong again never trust the drive thru,Restaurant,"[0.9395698308944702, 0.060430169105529785]",negative
2,very small location long wait time lots of people coming and no one leaving,Breakfast restaurant,"[0.989077091217041, 0.010922878049314022]",negative
4,good subs fair prices,Restaurant,"[0.009410922415554523, 0.9905890226364136]",positive
2,i would have rated this mcdonalds lower but their customer service is phenomenal other than that theyre terrible theyll read your order back perfectly and then hand you a bag that has none of the things they listed in it,Restaurant,"[0.983269214630127, 0.016730789095163345]",negative
4,had our high school reunion there,Fine dining restaurant,"[0.11377420276403427, 0.8862257599830627]",positive
4,service was good food was ok,Restaurant,"[0.395926296710968, 0.6040736436843872]",mixed
2,service was slow  it took the waitress 20 minutes after being seated to take our drink order this is 130 in the afternoon an there were less than 10 people in the entire restaurant,Restaurant,"[0.991032063961029, 0.008967943489551544]",negative
2,just another hot dog place nothing special,American restaurant,"[0.9991186261177063, 0.0008814285974949598]",negative
4,they let me wait 2minsgot an upgraded iced coffee nice ,Restaurant,"[0.013350449502468109, 0.9866495728492737]",positive
3,slow,Restaurant,"[0.9945987462997437, 0.005401212722063065]",negative
3,small pizzeria in corryville clifton  delivery  pick up and dine in options are available donatos food is always delicious this is a walkable area on street parking is available,Takeout Restaurant,"[0.030335301533341408, 0.9696646928787231]",positive
4,decent prices good food depending on the visit service is either fantastic or horrible,Restaurant,"[0.19460536539554596, 0.8053946495056152]",positive
3,i really like the employees they are very kind the wait in the drive thru however can be from 5 minutes to 20 minutes it depends on the day food can be fresh or not quite fresh my order is correct 98 of the time meaning incorrect orders are rare their large tea and orange fanta are worth it all,Restaurant,"[0.015055282041430473, 0.984944760799408]",positive
4,always good food,Restaurant,"[0.005865094251930714, 0.9941349625587463]",positive
4,fast service extensive menu large portions some ethnic offerings daily specials breakfast anytime friendly staff fair prices a little noisy,Restaurant,"[0.030358538031578064, 0.9696415066719055]",positive
2,change the grease,Seafood restaurant,"[0.44556155800819397, 0.5544384121894836]",mixed
3,it is 95f i stopped by to get an ice cream sundae no strawberry topping or peanut caramel topping is okay i could have bought a box of rocky road at nearby walmart store,Restaurant,"[0.9899189472198486, 0.010080993175506592]",negative
4,good pizza but why do they keep it so cold in there its a very undesirable place to dine in because of the temperature in the restaurant its winter it was a cool evening last night they have air vents everywhere you cant escape them so i ate with my coat on but worse than that my pizza got cold so fast from the cold air pouring down on it from above and this isnt a one off it was freezing last time i went there and i decided to carry out that time so four stars for good pizza one star for a very uncomfortable dining experience,Pizza restaurant,"[0.19461862742900848, 0.8053813576698303]",positive
4,excellent food,Chinese restaurant,"[0.0060813832096755505, 0.9939186573028564]",positive
4,they were very quick to fix a small mistake and the manager katie was easy to work it out with,Seafood restaurant,"[0.006998918484896421, 0.9930011034011841]",positive
4,we like to get the crust flavors,Pizza restaurant,"[0.41004353761672974, 0.589956521987915]",mixed
3,needs improvements on red beans and rice it has to have gravy in it after its cooked and dark meat chicken was dry the curry goat was fine,Restaurant,"[0.9478931427001953, 0.052106861025094986]",negative
4,most polish place possible like super polish,Restaurant,"[0.016719670966267586, 0.9832803010940552]",positive
2,order taker lied and told me i could get a baconator fry with my 4for4 and when i got my order it was just a regular fry,Restaurant,"[0.9882374405860901, 0.011762545444071293]",negative
2,cold food,Hamburger restaurant,"[0.9890496730804443, 0.010950349271297455]",negative
2,good hot food good servers,Family restaurant,"[0.02499011904001236, 0.9750099182128906]",positive
2,i heard greeks had a new owner i was optimistic so we went a young college aged kid waited on us while eating i was subjected to pop gospel music not for everyone being as i also work in service i always tip heavy as we were pulling out of the parking lot i noticed the owner bussing the table i hope the server got the money i left but im not so sure it seems like the old owner and new owner are of a very similar type,Pizza restaurant,"[0.9898640513420105, 0.010135906748473644]",negative
4,nice food big portions vast menu,Restaurant,"[0.036906152963638306, 0.9630938172340393]",positive
4,wonderful staff and but the food was not quite worth the price,Traditional American restaurant,"[0.6128522753715515, 0.3871476948261261]",mixed
4,nice mall inside is bright and airy pretty good selection of store no jc penny or inexpensive jewelry store like a claire food court has a pretty good selection,Restaurant,"[0.009331777691841125, 0.9906682372093201]",positive
3,potato skins could of been more moist to dry inside,Family restaurant,"[0.5470960140228271, 0.45290401577949524]",mixed
2,this is a ghetto bottom of the barrel ruby ts,Restaurant,"[0.9991945624351501, 0.000805432558991015]",negative
2,drinks were okay the tacos came out cold and they forgot one the server made it right however might try this place again,Taco restaurant,"[0.9526085257530212, 0.04739147052168846]",negative
3,its applebees what do you expect,Traditional American restaurant,"[0.8400487899780273, 0.15995123982429504]",negative
3,food isnt as good as other chipotles,Fast food restaurant,"[0.9715087413787842, 0.028491230681538582]",negative
3,food was very good but service was terribly slow this warm friday night,Fast food restaurant,"[0.7646352648735046, 0.23536472022533417]",mixed
3,good food service was soso,Fast food restaurant,"[0.2968260943889618, 0.7031739354133606]",mixed
2,usually dirtystaff are lazyfood is mediocre,Fast food restaurant,"[0.9673900604248047, 0.03260993957519531]",negative
3,its ok very expensive for what it is,Hawaiian restaurant,"[0.8992912173271179, 0.10070879757404327]",negative
4,good food good prizes would return,Restaurant,"[0.055522385984659195, 0.9444775581359863]",positive
3,mancinos is a good pizza place for a cheap pizza not my favorite place but we do eat there often a step up from little caesars,Pizza restaurant,"[0.20139239728450775, 0.7986076474189758]",mixed
4,fun place  smaller than it appeared online,Restaurant,"[0.03510173410177231, 0.9648982286453247]",positive
4,really good burger and cold beer  good place for day drinking,American restaurant,"[0.008215856738388538, 0.9917840957641602]",positive
2,i thought the brunch buffet was just okay,Spanish restaurant,"[0.9844277501106262, 0.015572321601212025]",negative
4,good food and serviceverry clean,American restaurant,"[0.0052741519175469875, 0.9947258830070496]",positive
3,this place is always really slow and half the time they dont get the order right  seems they need better management,Fast food restaurant,"[0.9980261921882629, 0.0019738117698580027]",negative
4,great steak fiestas,Delivery Restaurant,"[0.06218208000063896, 0.9378179311752319]",positive
4,some food is alright,Family restaurant,"[0.7861248850822449, 0.21387512981891632]",mixed
3,food is good but already had my order wrong four times i am willing to give ever place the benefitbut come on021321,Delivery Restaurant,"[0.9127325415611267, 0.0872674286365509]",negative
2,crowded not enough room 4 customers they need 2 expand word,Restaurant,"[0.9687106609344482, 0.03128938749432564]",negative
2,overcharged for chips i didnt order or get no fountain drinks only bottle otherwise satisfactory,Restaurant,"[0.9833993911743164, 0.016600681468844414]",negative
2,taste was good service was bad i ordered online and the estimated time passed and even said my wings were ready the staff told me a few more minutes the time passed and they told me it would be more time because they were busy the restaurant was fairly empty so empty none of the waitresses standing around doing nothing never greeted me when i came in the to go counter was empty for almost 5 minutes so i stood there and waited to even be talked to overall i would not recommend this buffalo wild wings a the others i went to had much better service i was give one star but the wings tastes good so two stars,Restaurant,"[0.9996532201766968, 0.0003468170471023768]",negative
3,very good food but it was soso service  it was outdoor dining during covid so maybe thats worth a pass  i will try them again,Sushi restaurant,"[0.1064225286245346, 0.893577516078949]",positive
2,burritos are ok coffee is very iffy but i despise everything else here the staff i had a talk with were not rude but sightly pushy i use to love this place when i was a child and i dont think its changed much its like christmas mcdonalds is the company version of christmas,Restaurant,"[0.9921574592590332, 0.007842580787837505]",negative
4,decent steak for the money i dont want to know how much meat tenderizer was used as i was able to taste it after cooking but overall a tender juicy steak that did not break the budget i do enjoy their salads and brown derby has a good house dressing poured in the right proprtion theyve stepped up the baked potato nicely done unlike the steamed potatoes of old at brown derby service was friendly and attentive,American restaurant,"[0.0024975058622658253, 0.9975025057792664]",positive
4,nice place to eat and there open later than all the other restaurants in area,Chinese restaurant,"[0.0033800157252699137, 0.9966199398040771]",positive
2,had to repeat my order three times in the drive thru and when i got to the window i had to repeat my order again i also waited about 15 minutes in the drive thru for two iced coffees,Restaurant,"[0.9832597970962524, 0.016740189865231514]",negative
2,what chinese restaurant does not serve soup  oh panda does not,Restaurant,"[0.9301339387893677, 0.06986603140830994]",negative
4,the balsamic drizzle is awesome be careful if you are prone to heartburn so far this place seems better in terms of food flavor than the recently opened similar place called mod pizza,Family restaurant,"[0.027927543967962265, 0.972072422504425]",positive
2,lobby was a mess and homeless guy was clearly bothering everyoneand employees did nothing,Restaurant,"[0.9901902079582214, 0.009809793904423714]",negative
4,i was able to get a keto friendly meal at a good price,Hamburger restaurant,"[0.0023544488940387964, 0.9976455569267273]",positive
4,good place  a little slow but busy we had a table of 12,Takeout Restaurant,"[0.010611571371555328, 0.9893884062767029]",positive
4,good food,Takeout Restaurant,"[0.030685730278491974, 0.9693143367767334]",positive
4,its a taco bell what can be said,Vegetarian restaurant,"[0.40840646624565125, 0.5915935039520264]",mixed
4,arrived to a small and cold in climate location and then was seated at one of the seven round tables each of which seat 4 at first i was a little bit worried about the length of time you had to wait prior to placing the order 1012 minutes however was impressed with the way the waitress was able to take the order without penpad food arrived looking very appetizing and the taste complimented as well because of the extensive and elaborate menu hard to say that the food is overall good because theres so much to try but i can say that what i had was very good i liked the various options of addons to make your dish yours would want to come back many times as long as service is good to try other creations,Vegetarian restaurant,"[0.040835559368133545, 0.9591645002365112]",positive
2,over priced mediocrity,Restaurant,"[0.9994926452636719, 0.0005073006032034755]",negative
3,good for something quick,Restaurant,"[0.45680487155914307, 0.5431951284408569]",mixed
3,just saying a little seasoning goes along way if added but food was still good,Restaurant,"[0.00782780908048153, 0.9921722412109375]",positive
2,not good this location still requires online orders which is completely unnecessary due to customers still coming in sitting in the restaurant waiting on their orders to be ready needless to say with large numbers of people waiting inside the covid19 protocol efforts are pointless for workers and customers and simply inconvenient for customers they need to allow people to order in store and simply implement a capacity limit also the guacamole  sour cream that i ordered for three bowls was left off and there was no plastic ware or napkins in the bag for an order of 5 meals upon going back in and notifying them the staff apologized which was appreciated but the hassle  convenience  was still there please do better,Fast food restaurant,"[0.9988279938697815, 0.0011720587499439716]",negative
